geography_code,total_businesses
E92000001,2368350
E12000001,72160
E06000047,14475
E06000005,3330
E06000001,2160
E06000002,3415
E06000057,11425
E06000003,3060
E06000004,5490
E11000007,28805
E08000037,5540
E08000021,8705
E08000022,5365
E08000023,3230
E08000024,5965
E12000002,266135
E06000008,5495
E06000009,3855
E06000049,19275
E06000050,13485
E06000063,11220
E06000006,3485
E06000007,8460
E06000064,11465
E11000001,105435
E08000001,10225
E08000002,7670
E08000003,22895
E08000004,7305
E08000005,6885
E08000006,11195
E08000007,12225
E08000008,6310
E08000009,11420
E08000010,9305
E10000017,45155
E07000117,2645
E07000118,4495
E07000119,3405
E07000120,2375
E07000121,4660
E07000122,3150
E07000123,5685
E07000124,3605
E07000125,2540
E07000126,3940
E07000127,4645
E07000128,4010
E11000002,38805
E08000011,3360
E08000012,14360
E08000014,7845
E08000013,4630
E08000015,8610
E12000003,190180
E06000011,13870
E06000010,6505
E06000012,4590
E06000013,5665
E06000065,32695
E06000014,7075
E11000003,40845
E08000016,6760
E08000017,9835
E08000018,7495
E08000019,16755
E11000006,78935
E08000032,16510
E08000033,8090
E08000034,15385
E08000035,29020
E08000036,9930
E12000004,182035
E06000015,7410
E06000016,13530
E06000061,15165
E06000018,9800
E06000017,1905
E06000062,18865
E10000007,29890
E07000032,4695
E07000033,2240
E07000034,3330
E07000035,4570
E07000036,3800
E07000037,3855
E07000038,3370
E07000039,4030
E10000018,29695
E07000129,4165
E07000130,6610
E07000131,5410
E07000132,4440
E07000133,2575
E07000134,4295
E07000135,2200
E10000019,28245
E07000136,2350
E07000137,5565
E07000138,2665
E07000139,4130
E07000140,3925
E07000141,5930
E07000142,3680
E10000024,27530
E07000170,3095
E07000171,4255
E07000172,3310
E07000173,3605
E07000174,3240
E07000175,4890
E07000176,5135
E12000005,216135
E06000019,10750
E06000051,15760
E06000021,6565
E06000020,5815
E10000028,32575
E07000192,3480
E07000193,4860
E07000194,4820
E07000195,3560
E07000196,4225
E07000197,5360
E07000198,4050
E07000199,2220
E10000031,26725
E07000218,2820
E07000219,3520
E07000220,4805
E07000221,8400
E07000222,7180
E11000005,91940
E08000025,37245
E08000026,9975
E08000027,9895
E08000028,9945
E08000029,8355
E08000030,8320
E08000031,8205
E10000034,26005
E07000234,5020
E07000235,4265
E07000236,2990
E07000237,3340
E07000238,6765
E07000239,3625
E12000006,270375
E06000055,7235
E06000056,12470
E06000032,7900
E06000031,7835
E06000033,6915
E06000034,7005
E10000003,28540
E07000008,4970
E07000009,4005
E07000010,3675
E07000011,7785
E07000012,8105
E10000012,66880
E07000066,7625
E07000067,6610
E07000068,4390
E07000069,3315
E07000070,8165
E07000071,7400
E07000072,8410
E07000073,3430
E07000074,3465
E07000075,3670
E07000076,4775
E07000077,5625
E10000015,61065
E07000095,4400
E07000096,7860
E07000242,7910
E07000098,7660
E07000099,6225
E07000240,8280
E07000243,3320
E07000102,5335
E07000103,5065
E07000241,5010
E10000020,33510
E07000143,5210
E07000144,4870
E07000145,2745
E07000146,5650
E07000147,4205
E07000148,5020
E07000149,5810
E10000029,31020
E07000200,4190
E07000244,9375
E07000202,4670
E07000203,5035
E07000245,7750
E12000007,530815
E13000001,282575
E09000007,36290
E09000001,22485
E09000012,25730
E09000013,12090
E09000014,12905
E09000019,22655
E09000020,13060
E09000022,13190
E09000023,9635
E09000025,13140
E09000028,15750
E09000030,16445
E09000032,15060
E09000033,54140
E13000002,248240
E09000002,7890
E09000003,25115
E09000004,8445
E09000005,15515
E09000006,14445
E09000008,14470
E09000009,17730
E09000010,14910
E09000011,9840
E09000015,15245
E09000016,10330
E09000017,14355
E09000018,13145
E09000021,8455
E09000024,11100
E09000026,14640
E09000027,12400
E09000029,8195
E09000031,12015
E12000008,404355
E06000036,4490
E06000043,13985
E06000060,31180
E06000046,4680
E06000035,8915
E06000042,12405
E06000044,5980
E06000038,6575
E06000039,6395
E06000045,7400
E06000037,8045
E06000040,9040
E06000041,8340
E10000011,22985
E07000061,3085
E07000062,2900
E07000063,4215
E07000064,4170
E07000065,8615
E10000014,58520
E07000084,6915
E07000085,6415
E07000086,5305
E07000087,4280
E07000088,1830
E07000089,4450
E07000090,4345
E07000091,7815
E07000092,3220
E07000093,5850
E07000094,8095
E10000016,64575
E07000105,6490
E07000106,5630
E07000107,4600
E07000108,3705
E07000112,3735
E07000109,4040
E07000110,7930
E07000111,6560
E07000113,5170
E07000114,4525
E07000115,6060
E07000116,6130
E10000025,31755
E07000177,7125
E07000178,4885
E07000179,7925
E07000180,5940
E07000181,5880
E10000030,62265
E07000207,8440
E07000208,3625
E07000209,7135
E07000210,5190
E07000211,6795
E07000212,4380
E07000213,4535
E07000214,4450
E07000215,4925
E07000216,8125
E07000217,4665
E10000032,36825
E07000223,2350
E07000224,5560
E07000225,6775
E07000226,3490
E07000227,7550
E07000228,7210
E07000229,3890
E12000009,236160
E06000022,8480
E06000058,15495
E06000023,18330
E06000052,25275
E06000059,17970
E06000053,200
E06000024,8950
E06000026,6280
E06000066,24795
E06000025,10150
E06000030,7030
E06000027,4100
E06000054,21520
E10000008,38725
E07000040,6825
E07000041,4385
E07000042,4480
E07000043,5080
E07000044,5245
E07000045,5865
E07000046,3680
E07000047,3165
E10000013,28860
E07000078,5190
E07000079,6075
E07000080,3725
E07000081,3705
E07000082,5785
E07000083,4380
W92000004,105235
W06000001,2685
W06000002,5455
W06000003,4600
W06000004,3605
W06000005,5250
W06000006,4030
W06000023,8765
W06000008,4100
W06000009,5780
W06000010,7830
W06000011,6715
W06000012,3040
W06000013,3825
W06000014,4445
W06000015,11780
W06000016,5665
W06000024,1225
W06000018,4080
W06000019,1300
W06000020,2490
W06000021,4445
W06000022,4125
S92000003,172255
S12000033,7860
S12000034,12540
S12000041,3735
S12000035,3860
S12000036,18015
S12000005,1085
S12000006,6290
S12000042,3470
S12000008,3130
S12000045,2780
S12000010,3160
S12000011,2670
S12000014,3520
S12000047,8955
S12000049,19595
S12000017,10840
S12000018,1485
S12000019,2570
S12000020,3120
S12000013,1205
S12000021,3035
S12000050,7645
S12000023,1475
S12000048,6180
S12000038,4665
S12000026,5005
S12000027,1570
S12000028,3490
S12000029,9075
S12000030,3850
S12000039,1770
S12000040,4610
N92000002,78930
N09000001,4145
N09000011,4790
N09000002,9165
N09000003,10790
N09000004,6265
N09000005,5540
N09000006,8680
N09000007,5100
N09000008,5155
N09000009,9785
N09000010,9515
